State,District,Crop,Year,FY,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Rajasthan,Ajmer,Arhar/Tur, 1998-99,1999,Kharif     ,3,4,1.33
Rajasthan,Ajmer,Arhar/Tur, 1999-00,2000,Kharif     ,3,1,0.33
Rajasthan,Ajmer,Arhar/Tur, 2000-01,2001,Kharif     ,43,,0
Rajasthan,Ajmer,Arhar/Tur, 2001-02,2002,Kharif     ,4,2,0.5
Rajasthan,Ajmer,Arhar/Tur, 2002-03,2003,Kharif     ,36,,0
Rajasthan,Ajmer,Arhar/Tur, 2003-04,2004,Kharif     ,15,15,1
Rajasthan,Ajmer,Arhar/Tur, 2004-05,2005,Kharif     ,3,,0
Rajasthan,Ajmer,Arhar/Tur, 2007-08,2008,Kharif     ,57,12,0.21
Rajasthan,Ajmer,Arhar/Tur, 2009-10,2010,Kharif     ,6,,0
Rajasthan,Ajmer,Arhar/Tur, 2010-11,2011,Kharif     ,7,7,1
Rajasthan,Ajmer,Arhar/Tur, 2011-12,2012,Kharif     ,47,10,0.21
Rajasthan,Ajmer,Arhar/Tur, 2014-15,2015,Kharif     ,1,1,1
Rajasthan,Ajmer,Arhar/Tur, 2016-17,2017,Kharif     ,2,,0
Rajasthan,Alwar,Arhar/Tur, 1997-98,1998,Kharif     ,20300,14600,0.72
Rajasthan,Alwar,Arhar/Tur, 1998-99,1999,Kharif     ,4475,5929,1.32
Rajasthan,Alwar,Arhar/Tur, 1999-00,2000,Kharif     ,4395,4347,0.99
Rajasthan,Alwar,Arhar/Tur, 2000-01,2001,Kharif     ,2939,2815,0.96
Rajasthan,Alwar,Arhar/Tur, 2001-02,2002,Kharif     ,2980,2401,0.81
Rajasthan,Alwar,Arhar/Tur, 2002-03,2003,Kharif     ,954,142,0.15
Rajasthan,Alwar,Arhar/Tur, 2003-04,2004,Kharif     ,1041,1057,1.02
Rajasthan,Alwar,Arhar/Tur, 2004-05,2005,Kharif     ,1252,4322,3.45
Rajasthan,Alwar,Arhar/Tur, 2005-06,2006,Kharif     ,1649,1553,0.94
Rajasthan,Alwar,Arhar/Tur, 2006-07,2007,Kharif     ,1497,1303,0.87
Rajasthan,Alwar,Arhar/Tur, 2007-08,2008,Kharif     ,1172,1208,1.03
Rajasthan,Alwar,Arhar/Tur, 2008-09,2009,Kharif     ,2207,1844,0.84
Rajasthan,Alwar,Arhar/Tur, 2009-10,2010,Kharif     ,2608,792,0.3
Rajasthan,Alwar,Arhar/Tur, 2010-11,2011,Kharif     ,5064,4796,0.95
Rajasthan,Alwar,Arhar/Tur, 2011-12,2012,Kharif     ,4034,4098,1.02
Rajasthan,Alwar,Arhar/Tur, 2012-13,2013,Kharif     ,2925,3514,1.2
Rajasthan,Alwar,Arhar/Tur, 2013-14,2014,Kharif     ,2139,2324,1.09
Rajasthan,Alwar,Arhar/Tur, 2014-15,2015,Kharif     ,1453,1775,1.22
Rajasthan,Alwar,Arhar/Tur, 2015-16,2016,Kharif     ,1071,1151,1.07
Rajasthan,Alwar,Arhar/Tur, 2016-17,2017,Kharif     ,1921,2187,1.14
Rajasthan,Alwar,Arhar/Tur, 2017-18,2018,Kharif     ,826,902,1.09
Rajasthan,Alwar,Arhar/Tur, 2018-19,2019,Kharif     ,641,770,1.2
Rajasthan,Alwar,Arhar/Tur, 2019-20,2020,Kharif     ,94,115,1.22
Rajasthan,Banswara,Arhar/Tur, 1997-98,1998,Kharif     ,6100,4300,0.7
Rajasthan,Banswara,Arhar/Tur, 1998-99,1999,Kharif     ,5939,7774,1.31
Rajasthan,Banswara,Arhar/Tur, 1999-00,2000,Kharif     ,5828,1923,0.33
Rajasthan,Banswara,Arhar/Tur, 2000-01,2001,Kharif     ,7544,1711,0.23
Rajasthan,Banswara,Arhar/Tur, 2001-02,2002,Kharif     ,6974,2786,0.4
Rajasthan,Banswara,Arhar/Tur, 2002-03,2003,Kharif     ,6082,2158,0.35
Rajasthan,Banswara,Arhar/Tur, 2003-04,2004,Kharif     ,6254,4373,0.7
Rajasthan,Banswara,Arhar/Tur, 2004-05,2005,Kharif     ,7000,3362,0.48
Rajasthan,Banswara,Arhar/Tur, 2005-06,2006,Kharif     ,7812,4232,0.54
Rajasthan,Banswara,Arhar/Tur, 2006-07,2007,Kharif     ,7079,1714,0.24
